Sl. No.,State/UT,2019-20,2020-21,2021-22
1,Andhra Pradesh,534,1192.8,1192.8
2,Arunachal Pradesh,63,222.4,222.4
3,Assam,559,686.4,686.4
4,Bihar,570,1510.4,1510.4
5,Chhattisgarh,292,460.8,460.8
6,Goa,4,12,12
7,Gujarat,856,1412,1412
8,Haryana,374,524,524
9,Himachal Pradesh,287,363.2,363.2
10,Jammu and Kashmir,310,NA,NA
11,Jharkhand,442,605.6,605.6
12,Karnataka,336,843.2,843.2
13,Kerala,225,335.2,335.2
14,Madhya Pradesh,1066,1941.6,1941.6
15,Maharashtra,1803,3436.8,3436.8
16,Manipur,23,37.6,37.6
17,Meghalaya,29,58.4,58.4
18,Mizoram,20,41.6,41.6
19,Nagaland,12,36.8,36.8
20,Odisha,909,1711.2,1711.2
21,Punjab,474,528,528
22,Rajasthan,1340,1580,1580
23,Sikkim,38,44.8,44.8
24,Tamil Nadu,825,1088,1088
25,Telangana,333,479.2,479.2
26,Tripura,38,60.8,60.8
27,Uttar Pradesh,820,2062.4,2062.4
28,Uttarakhand,255,832.8,832.8
29,West Bengal,628,1078.4,1078.4
Total,Total,13465,23186.4,23186.4
