Sl. No.,State/UT,Allocation of SDRF - Central Share,Allocation of SDRF - State Share ,Allocation of SDRF - Total,Release under SDRF - 1st Installment,Release under SDRF - 2nd Installment,Release under NDRF
1,Andhra Pradesh,987.2,328,1315.2,493.6,NA,NA
2,Arunachal Pradesh,220.8,24.8,245.6,110.4,NA,NA
3,Assam,680.8,76,756.8,340.4,NA,NA
4,Bihar,1248.8,416,1664.8,624.4,NA,NA
5,Chhattisgarh,380.8,127.2,508,181.6,,NA
6,Goa,9.6,3.2,12.8,4.8,NA,NA
7,Gujarat,1168,388.8,1556.8,1140,NA,NA
8,Haryana,433.6,144,577.6,216.8,NA,NA
9,Himachal Pradesh,360.8,40,400.8,180.4,180.4,NA
10,Jharkhand,500.8,166.4,667.2,NA,NA,NA
11,Karnataka,697.6,232,929.6,348.8,NA,NA
12,Kerala,277.6,92,369.6,138.8,NA,NA
13,Madhya Pradesh,1605.6,535.2,2140.8,802.8,NA,NA
14,Maharashtra,2841.6,947.2,3788.8,1420.8,NA,NA
15,Manipur,37.6,4,41.6,18.8,NA,NA
16,Meghalaya,58.4,6.4,64.8,27.2,NA,NA
17,Mizoram,41.6,4.8,46.4,20.8,NA,NA
18,Nagaland,36.8,4,40.8,18.4,NA,NA
19,Odisha,1415.2,471.2,1886.4,707.6,NA,NA
20,Punjab,436.8,145.6,582.4,218.4,NA,NA
21,Rajasthan,1307.2,435.2,1742.4,653.6,NA,NA
22,Sikkim,44.8,4.8,49.6,22.4,NA,NA
23,Tamil Nadu,900,300,1200,450,NA,NA
24,Telangana,396,132,528,188.8,NA,NA
25,Tripura,60.8,6.4,67.2,30.4,NA,NA
26,Uttar Pradesh,1705.6,568,2273.6,812,NA,NA
27,Uttarakhand,826.4,92,918.4,413.2,NA,NA
28,West Bengal,892,297.6,1189.6,446,NA,NA
Total,Total,19572.8,5992.8,25565.6,10031.2,180.4,NA
